
  0.2498006E+00  0.9062035E+00  0.0000000E+00  0.0000000E+00  0.4071955E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1177016E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.2769642E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1134835E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2957010E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.9445159E-05  0.0000000E+00  0.4071955E-01  0.0000000E+00  0.0000000E+00  0.5594297E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1248886E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2957010E-02
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9445159E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2769642E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1134835E-05  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1134835E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9445159E-05  0.0000000E+00  0.1177016E-03
  0.0000000E+00  0.0000000E+00  0.1248886E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.9445159E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1134835E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00
  
  0.4000076E+00  0.9354846E+00  0.0000000E+00  0.0000000E+00  0.1166832E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2464901E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.2864052E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2708675E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2902178E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.3436520E-04  0.0000000E+00  0.1166832E-01  0.0000000E+00  0.0000000E+00  0.3347252E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3425380E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2902178E-02
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3436520E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2864052E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2708675E-05  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2708675E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2557337E-06  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.0000000E+00  0.3436520E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8020368E-06  0.0000000E+00  0.2464901E-03  0.0000000E+00  0.0000000E+00  0.3425380E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.0000000E+00  0.5725990E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.3436520E-04  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.8020368E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
  0.2708675E-05  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2557337E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00

  0.4500085E+00  0.7452069E+00  0.0000000E+00  0.0000000E+00  0.9990567E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2745798E-03  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
